index,artist_name,danceability,duration,end_of_fade_in,energy,key,key_confidence,loudness,mode,mode_confidence,artist_hotttness,song_hotttness,start_of_fade_out,tempo,time_signature,time_signature_confidence,title,release,year
1035,Nicolas Bacchus,0.0,215.01342,0.0,0.0,0,0.636,-8.121,0,0.869,0.08999872434630793,nan,215.013,133.812,3,0.657,Josy,Balades pour enfants louches,2002
1036,Ras Michael and the Sons of Negus,0.0,243.98322,0.374,0.0,8,0.47,-8.258,1,0.389,0.3405238268004334,nan,237.0,162.618,4,0.212,Ethiopian Anthem,Lion Country,1978
1037,Talib Kweli,0.0,196.33587,0.334,0.0,8,0.104,-9.577,1,0.344,0.551016442959872,nan,190.769,89.658,4,0.476,Everything Man (Album Version),Eardrum,2007
1038,Quadro Nuevo,0.0,133.98159,0.0,0.0,9,0.871,-9.498,1,0.739,0.40924463861600635,0.3725300393660796,126.816,123.006,7,0.302,Nature Boy,Luna Rossa,2002
1039,Mush,0.0,397.00853,0.0,0.0,1,0.268,-17.865,1,0.24,0.2982275608907246,nan,384.424,0.0,3,1.0,Test 72,Test EP Vol 1,0
1040,Busdriver,0.0,311.11791,0.0,0.0,4,0.082,-6.818,0,0.0,0.3494763271978497,0.48917400240575637,304.141,164.946,4,0.521,Unsafe Sextet/Gilded Hearts of Booklovers,Jhelli Beam,2009
1041,Buzzcocks,0.0,135.23546,0.432,0.0,6,0.237,-7.324,0,0.486,0.528795206130862,0.30416950343527516,124.68,177.551,5,0.632,No Reply (Demo),Chronology,2008
1042,Jean-Jacques Goldman,0.0,434.49424,6.728,0.0,7,0.394,-10.787,1,0.521,0.44925387694771113,0.21508031850922793,434.494,150.407,4,0.602,Entre Gris Clair Et Gris Foncé (Live),Intégrale 81-91,0
1043,Darryl Worley,0.0,226.2722,0.276,0.0,4,0.22,-9.344,1,0.336,0.5167640302671827,0.255077873063035,219.028,124.693,4,0.805,Where You Think You're Goin'?,I Miss My Friend,2002
1044,Singing Melody,0.0,251.11465,3.825,0.0,11,0.56,-7.327,1,0.569,0.32600887327943756,0.0,241.331,209.956,4,0.438,Thriller (Album),Jackson Lovers,0
1045,Vivian,0.0,192.44363,0.0,0.0,9,0.745,-4.919,1,0.544,0.35926026411845985,nan,189.643,177.972,1,0.0,Slipping Away,V,0
1046,Hoods,0.0,81.6322,0.0,0.0,8,0.239,-6.103,1,0.59,0.4166101072230988,0.6782216268937635,81.632,158.016,3,0.383,Coward,The King Is Dead,0
1047,Wednesday 13,0.0,275.48689,0.072,0.0,7,0.012,-3.545,0,0.29,0.4543626241556834,0.2816730776478403,272.237,130.683,1,0.0,Haunt Me (Album Version),Transylvania 90210,0
1048,Dave Alvin,0.0,255.89506,3.048,0.0,5,0.958,-10.455,1,0.67,0.4158248857038078,nan,255.895,89.21,4,0.215,All Night Worker,The Great American Music Galaxy,0
1049,Hawkshaw Hawkins,0.0,71.1571,0.473,0.0,5,0.562,-9.902,1,0.5,0.3096910090183806,nan,71.157,117.696,3,0.889,Intro / Stay All Night_ Stay A Little Longer,Country Style U.S.A. with Kitty Wells_ Johnnie & Jack_ Hawkshaw Hawkins_ Jean Shepard,0
1050,Sandy Lam,0.0,270.00118,0.0,0.0,2,0.213,-10.034,1,0.418,0.35416895482890376,0.0,261.579,136.021,4,0.507,Lonely Shooting Stars,Sandy Live 07,0
1051,Blind Lemon Jefferson,0.0,178.38975,0.584,0.0,1,0.053,-24.106,1,0.428,0.38284690149999745,nan,173.337,100.329,4,0.073,Long Lonesome Blues,The Complete Classic Sides Remastered: Chicago 1926 Disc A,1926
1052,Bülent Ceylan,0.0,348.29016,0.0,0.0,0,0.054,-13.916,1,0.164,0.43372103407545803,nan,348.29,227.247,1,0.731,Harald: Trinkhalleluja,Ganz schön turbülent,0
1053,The Dillinger Escape Plan,0.0,144.01261,0.0,0.0,9,0.28,-4.527,0,0.304,0.5418889720336469,0.652097591230581,140.754,71.707,5,0.38,Sugar Coated Sour,Calculating Infinity,1999
1054,Mavado,0.0,184.76363,0.0,0.0,2,0.57,-7.467,1,0.318,0.5207841069422383,0.4697124313189556,184.764,127.937,4,0.112,In Di Car Back (Album Version),Mr. Brooks...A Better Tomorrow,0
1055,Reel Big Fish,0.0,253.09995,0.131,0.0,2,0.213,-5.172,1,0.215,0.5531688635836378,0.4072330149011048,240.089,165.552,4,0.0,Cannibal (Dance Mix),Monkeys For Nothin' And The Chimps For Free,2007
1056,Los Chunguitos,0.0,170.50077,0.351,0.0,11,0.599,-13.086,0,0.591,0.3723565875336241,nan,161.715,157.67,4,0.819,Èay! Que Pena,Los Chunguitos,0
1057,Cali,0.0,328.14975,0.0,0.0,0,0.374,-6.032,1,0.537,0.34384449941445117,0.26586104921065007,328.15,99.993,5,0.89,Il Y A Une Question (Live),Le Bordel Magnifique,2006
1058,Kali,0.0,207.882,0.0,0.0,4,0.552,-7.309,1,0.063,0.399265149721187,nan,207.882,110.889,4,0.826,Ferrous Carbonate Mass,Kali,0
1059,Dakis,0.0,215.7971,0.125,0.0,5,0.489,-10.308,1,0.274,0.0,nan,206.425,93.017,4,0.512,Kathe Mera Kathe Nihta (2005 Digital Remaster),Back To The 70'S-The Very Best Of Dakis,0
1060,The Cate Brothers,0.0,150.17751,0.142,0.0,5,0.903,-12.85,1,0.659,0.1903461623519362,0.2476897040472777,143.163,112.522,4,0.787,Let's Start All Over,Voices Of Americana: The Cate Brothers,0
1061,Busta Rhymes,0.0,206.34077,0.0,0.0,11,0.603,-7.399,1,0.496,0.5396443124242588,0.5519215149416955,202.733,169.951,7,0.777,The Whole World Looking At Me (Explicit LP Version),When Disaster Strikes,0
1062,The Game,0.0,260.10077,2.02,0.0,9,0.428,-4.595,1,0.403,0.599859524967033,nan,257.474,169.672,4,0.825,Scream On Em,Doctor's Advocate,0
1063,Disco D,0.0,235.07546,1.112,0.0,7,0.084,-8.253,1,0.487,0.3756769293497006,nan,227.718,135.426,4,0.701,6 A.M. Funk,Ghettotech For Slow People,0
1064,Broadcast,0.0,237.00853,0.131,0.0,7,0.49,-9.664,1,0.553,0.467885511383105,0.6128446026499184,232.24,85.744,1,1.0,Michael A Grammar,Tender Buttons,2005
1065,The Insects,0.0,226.40281,10.617,0.0,0,0.071,-7.332,1,0.512,0.338104616266341,0.0,221.112,90.217,4,0.459,Winds of Change,Free the Hard Way,0
1066,Alvino Rey And His Orchestra,0.0,156.05506,0.0,0.0,2,0.479,-11.956,1,0.492,0.27247125591556115,0.0,148.364,165.142,4,0.909,Steel Guitar Rag,Big Band Favourites Vol 3,2005
1067,Sinch,0.0,232.202,2.694,0.0,9,0.18,-5.551,0,0.402,0.4056577581500732,0.5317220984213001,215.232,131.915,3,1.0,The Arctic Ocean (Album Version),Sinch,2002
1068,The American Boychoir,0.0,241.8673,0.567,0.0,3,0.779,-22.965,1,0.686,0.2918834217879059,nan,213.804,103.027,1,0.204,Walk In The Light,Harmony: American Songs Of Faith,0
1069,Boogie Pimps,0.0,333.89669,0.0,0.0,11,0.542,-7.269,0,0.536,0.3653396527140089,nan,297.767,85.325,5,0.946,Then Came You,Then Came You,2007
1070,The King Sisters,0.0,176.03873,0.095,0.0,0,0.679,-25.452,1,0.622,0.2874467532300883,0.0,167.602,73.581,4,1.0,Beyond The Reef,Aloha,0
1071,Dinosaur Jr,0.0,298.57914,3.129,0.0,4,0.23,-5.899,1,0.37,0.5515524551563505,0.6070366907455167,287.126,135.314,4,0.118,Green Mind,Green Mind [Digital Version] [with Bonus Tracks],1991
1072,Josh White,0.0,181.39383,0.398,0.0,10,1.0,-17.148,1,0.683,0.35102262079534835,0.0,172.391,88.313,4,0.0,New D.B.A. Blues,Josh White Vol. 2 1933-1935,0
1073,Eluveitie,0.0,259.02975,2.85,0.0,11,0.755,-2.731,0,0.618,0.5292587413470465,nan,252.97,94.996,4,0.488,Primordial Breath,Slania,2008
1074,Flamin' Groovies,0.0,207.28118,0.386,0.0,1,0.358,-10.179,1,0.296,0.43700191865316,0.319565986882865,200.754,94.15,4,0.916,Call Me Lightning,Kicks,0
1075,Jesus Jones,0.0,203.65016,0.0,0.0,0,0.914,-14.897,0,0.785,0.42062740133562165,0.42409081096743817,196.354,195.824,4,0.586,Yellow Brown,Perverse,1993
1076,Max Steiner,0.0,163.39546,4.493,0.0,3,0.039,-13.629,1,0.518,0.35549113602485716,nan,150.494,99.219,5,0.657,( Gone With the Wind) Bonnies Fatal Pony Ride,Gonjhe With the Wind & Golden Earrings,0
1077,Red Hot Chili Peppers,0.0,203.96363,0.246,0.0,0,0.109,-5.735,1,0.255,0.5762019662804653,nan,189.788,110.875,4,0.782,Buckle Down (2002 Digital Remaster),Red Hot Chili Peppers,0
1078,Ace Frehley,0.0,379.32363,4.696,0.0,7,0.776,-10.519,1,0.654,0.44384773879174966,0.6068072928412985,368.141,89.965,3,0.657,Fractured Quantum,Anomaly,2009
1079,The Police,0.0,249.18159,0.0,0.0,9,0.757,-10.362,1,0.527,0.6426559611248466,nan,227.068,147.599,4,0.209,De Do Do Do_ De Da Da Da,Message In A Box,0
1080,Long Beach Dub Allstars,0.0,205.11302,0.258,0.0,7,0.802,-1.869,0,0.566,0.41735105580296544,0.5543841211839374,201.485,150.573,4,0.349,Free Love,Wonders Of The World,2001
1081,James Horner,0.0,197.38077,7.454,0.0,0,0.596,-29.407,1,0.555,0.491828704353138,nan,190.868,129.237,4,0.297,Good Friend,Cocoon: The Return,2000
1082,Gal Costa / Maria Bethânia,0.0,231.70567,0.177,0.0,11,0.45,-8.753,0,0.193,0.4374645536949841,nan,213.676,73.411,4,0.212,Filosofia Pura,Ciclo,0
1083,Glen Washington,0.0,237.19138,0.193,0.0,5,0.542,-7.485,1,0.503,0.301246881415998,0.3277366831778408,237.191,161.961,5,0.291,Number One Girl,Number One Girl,0
1084,Walter Jackson,0.0,189.6224,0.119,0.0,3,0.5,-11.21,1,0.525,0.3161559873970384,0.36727341580934564,179.003,74.55,1,0.0,My Ship Is Comin' In,R&B: From Doo-Wop To Hip-Hop,0
1085,Luis Alberto Spinetta,0.0,191.60771,0.299,0.0,8,0.46,-20.009,0,0.378,0.4398438541325515,nan,176.663,113.096,4,0.462,Lo Siento En Mi Corazón,Mondo Di Cromo,1983
1086,Maurice Larcange,0.0,199.54893,0.42,0.0,7,0.642,-10.908,0,0.606,0.279642625276782,nan,187.948,136.786,7,0.287,Le Récit De Cassard,Joue Legrand & Becaud,0
1087,ÄI-TIEM,0.0,166.03383,0.61,0.0,11,0.65,-13.277,1,0.447,0.0,nan,163.062,140.084,4,0.854,Auf die Fresse_ fertig_ los,Wenn hier einer schießt_ dann bin ich das,0
1088,Aram Shelton,0.0,540.52526,0.247,0.0,4,0.587,-9.479,1,0.435,0.0,0.0,531.122,113.031,3,1.0,All Dressed Up,Arrive,0
1089,Montserrat Caballé/Orchestra of the Royal Opera House_ Covent Garden/Carlo Maria Giulini,0.0,168.56771,4.516,0.0,1,0.429,-22.06,1,0.539,0.39137058721808954,nan,161.414,71.609,3,0.975,Don Carlo (2000 Digital Remaster): Tu che le vanità (Elisabetta),Verdi: Don Carlo,0
1090,Abysmal Dawn,0.0,261.43302,0.0,0.0,8,0.271,-6.405,1,0.357,0.40880107251989956,0.540493129382015,258.328,126.428,1,0.0,Programmed to Consume,Programmed to Consume,2008
1091,Constance Demby,0.0,259.36934,3.024,0.0,6,0.033,-8.273,1,0.436,0.3890293659837453,0.26586104921065007,250.253,85.155,4,0.198,Javalon,Set Free - The Definitive Edition,1989
1092,Monomonkey,0.0,222.30159,0.0,0.0,0,0.502,-5.128,1,0.576,0.38477354138946035,0.0,209.496,155.906,4,0.145,Where To Hide?,Before we all implode,0
1093,Konexion,0.0,405.78567,0.0,0.0,4,0.611,-4.491,0,0.553,0.0,nan,386.125,91.008,4,0.79,Apostasie,Message A L'Eglise,0
1094,Photek,0.0,327.88853,0.0,0.0,8,0.623,-6.282,0,0.662,0.4387791606450403,nan,312.953,115.014,4,1.0,Junk,Solaris,2000
1095,Slum Village,0.0,152.86812,0.0,0.0,11,0.05,-5.216,0,0.484,0.4254506138636907,nan,136.417,89.957,4,0.218,The Things You Do,J-88,0
1096,The Sun Harbor's Chorus-Documentary Recordings,0.0,110.94159,0.665,0.0,7,0.022,-15.81,1,0.495,0.2491372295395512,0.24099189058358852,100.339,124.393,4,0.121,Marine's hymn,Songs of the marines,0
1097,Luisito Rosario,0.0,302.602,0.131,0.0,8,0.314,-6.572,1,0.436,0.1923496946810962,nan,299.561,153.251,3,0.924,1 - 800 - Quiereme - Remix,Rumba Del Barrio,0
1098,Kaija Koo,0.0,192.23465,4.156,0.0,0,0.712,-13.012,1,0.667,0.3792280690900896,0.4582882074332055,173.935,115.671,4,0.692,Viimeiset hitaat,Lauluja rakkaudesta,1995
1099,Vangelis,0.0,1280.88771,0.375,0.0,8,0.2,-15.357,0,0.351,0.4737005012967777,0.6559532315616005,1172.428,88.341,7,0.694,Heaven And Hell (Part II),3 Originals,0
1100,The Motors,0.0,393.61261,0.7,0.0,4,0.583,-9.897,1,0.551,0.3353221299292441,nan,389.898,149.629,1,0.0,Dancing The Night Away,Airport - The Motors Greatest Hits,1977
1101,David Rose,0.0,292.80608,0.345,0.0,0,0.411,-13.176,0,0.362,0.34866534017096623,nan,283.632,109.059,4,0.0,Wear Your Love Like Heaven / Workin' On A Groovy Thing (Medley) (1997 Digital Remaster),Ultra-Lounge / On The Rocks With A Twist - Part 2,0
1102,Kurt Tepperwein,0.0,33.67138,0.078,0.0,4,0.0,-14.431,1,0.0,0.2520805272058066,nan,33.671,61.618,4,0.731,Einleitung,Charismatisches Selbstimage - Selbst-Management,0
1103,Monty,0.0,195.60444,0.398,0.0,2,0.792,-9.675,0,0.712,0.3467043918506348,nan,186.131,133.787,4,0.724,Les Reves D´enfants,Pour La Vie,0
1104,Muzsikas,0.0,351.50322,0.125,0.0,9,0.465,-2.937,0,0.459,0.3301197135566966,0.0,340.561,98.246,1,0.149,Békási táncdallamok,World Music From Hungary 2.,0
1105,Mongo Santamaria,0.0,229.51138,1.622,0.0,0,0.581,-9.698,1,0.629,0.36005330653898404,0.26586104921065007,224.485,119.336,4,0.115,Boogaloo Wow,Santa Maria,0
1106,Ricardo Arjona,0.0,403.25179,0.193,0.0,6,0.43,-11.533,1,0.579,0.5455719612113675,0.6403706648883718,379.64,143.676,4,0.473,Ayudame Freud,Historias,0
1107,Eric B. & Rakim,0.0,282.04363,0.328,0.0,7,0.0,-12.314,1,0.22,0.5009463756707355,nan,273.932,94.499,4,1.0,I Know You Got Soul,Paid In Full,1987
1108,Muse,0.0,312.05832,0.16,0.0,9,0.692,-13.016,1,0.561,0.7504265510189179,0.5395397825789927,305.267,103.995,4,0.0,Falling Down [Live Acoustic],Unintended,0
1109,The Perrys,0.0,109.81832,0.067,0.0,10,1.0,-9.058,1,0.698,0.38067987361328043,0.0,101.367,120.047,4,1.0,When They Ring The Bells Of Heaven,Remembering The Happy Goodmans,0
1110,Unwritten Law,0.0,183.74485,0.0,0.0,8,0.692,-4.26,0,0.669,0.4608434825896651,nan,169.401,103.142,4,0.821,Because Of You (Album Version),Here's To The Mourning,2005
1111,Cindy Morgan,0.0,101.58975,0.0,0.0,2,0.633,-14.966,0,0.706,0.41741046690001027,0.2975771532188713,92.741,71.478,7,1.0,Will You Be There? (Live Version),Listen,0
1112,Oui Oui,0.0,174.15791,0.142,0.0,2,0.239,-5.546,1,0.74,0.3437719451180466,0.0,167.967,125.093,4,1.0,La danse des petits amis,Oui-oui et le cadeau surprise,0
1113,The Marx Brothers,0.0,188.3424,0.415,0.0,2,0.657,-17.126,1,0.492,0.37565282400247096,0.39628912318039405,183.159,157.932,4,0.483,I'm Against It/Horse Feathers,Horse Feathers / Animal Crackers,0
1114,Chimaira,0.0,260.64934,0.0,0.0,4,0.21,-4.372,0,0.253,0.47676086709831694,nan,247.56,90.021,4,0.364,Army Of Me (Album Version),The Impossibility of Reason [Special Edition],0
1115,Yolandita Monge,0.0,181.49832,0.127,0.0,0,0.502,-11.095,1,0.459,0.34721781564698434,nan,168.281,114.325,4,0.735,Soy Un Poco De Ti - Original,Yolandita Monge Selected Hits Vol. 2,0
1116,Kanye West,0.0,247.64036,2.014,0.0,7,0.569,-5.597,1,0.578,1.0825025567261237,nan,242.707,81.53,4,0.859,Diamonds From Sierra Leone,Late Orchestration,2005
1117,Los Iracundos,0.0,149.36771,0.258,0.0,1,0.661,-10.857,0,0.67,0.37747250731152715,nan,144.968,125.717,1,0.0,La Bambola,20 Secretos De Amor - Los Iracundos,0
1118,Ultra X,0.0,209.13587,0.102,0.0,1,0.01,-7.846,1,0.376,0.0,nan,193.225,101.458,4,0.453,Break Em,Taste the X,0
1119,Mannheim Steamroller,0.0,277.65506,0.131,0.0,0,0.626,-19.196,1,0.612,0.6462073523388863,nan,267.552,109.831,4,1.0,On The Edge Of Forever,Day Parts-Romance,0
1120,Sivuca,0.0,185.73016,0.705,0.0,5,0.552,-17.45,1,0.43,0.3243342048085304,nan,182.184,181.239,1,0.0,Rapaz De Bem,Samba Nouvelle Vague,0
1121,The Lord Henry,0.0,239.59465,0.107,0.0,11,0.0,-5.168,0,0.309,0.0,nan,216.491,142.991,4,0.0,Is This Legal,Zoo Palace,0
1122,John Wesley,0.0,166.03383,0.0,0.0,4,0.688,-13.554,1,0.638,0.45278947675222264,nan,158.929,150.986,3,1.0,Alone Together (Live Acoustic),Oxford,0
1123,Floyd Cramer,0.0,117.4722,0.293,0.0,2,0.186,-16.438,1,0.293,0.4088617195261995,0.0,114.596,83.724,4,0.0,Near You,Piano Masterpieces,1964
1124,Michael English,0.0,189.88363,0.225,0.0,2,0.865,-10.614,1,0.728,0.34621991956649656,0.0,180.901,123.29,4,0.91,Come On Home,The Best of Michael English,0
1125,X-Ecutioners featuring Big Pun,0.0,65.72363,2.775,0.0,1,0.531,-14.843,1,0.377,0.41693587166116425,nan,61.649,115.498,3,0.199,The Drama (intro),Rap Life,0
1126,Antonio Koudele,0.0,195.5522,0.085,0.0,7,0.77,-14.773,1,0.827,0.0,nan,189.225,88.12,3,1.0,Track BALLERINA GIRL,HarpGuitar "Antonio Koudele Plays Evergreens" Vol.1,0
1127,Mart'nália,0.0,242.59873,0.0,0.0,0,0.518,-7.956,1,0.439,0.3667046199936735,0.0,242.599,96.978,4,0.558,Brasil pandeiro,Spirit of Brazil live,0
1128,Tha Liks,0.0,43.2322,2.485,0.0,11,0.062,-12.577,1,0.524,0.0,nan,43.232,97.067,4,0.712,Intro,X.O. Experience,2001
1129,Cassie,0.0,490.86649,0.119,0.0,10,0.052,-5.007,0,0.03,0.47680335353388514,0.21508031850922793,484.206,82.005,3,1.0,Long Way 2 Go [Friscia & Lamboy Club],Bad Boy Dance Mixes Volume 4,0
1130,Hot Boys,0.0,227.94404,0.0,0.0,4,0.096,-6.221,0,0.238,0.36741233742016544,0.4051157216913865,213.879,93.859,4,0.917,Young Riders,Let Em' Burn,0
1131,John D. Loudermilk,0.0,113.81506,0.16,0.0,7,0.015,-10.955,1,0.237,0.28737003459245986,0.0,109.36,87.714,1,0.0,Somebody Sweet,John D. Loudermilk,0
1132,The Killers,0.0,225.12281,0.0,0.0,11,0.116,-4.808,0,0.379,0.8289063015404353,0.7603432374173373,207.697,134.734,1,0.0,A Dustland Fairytale,Day & Age,2008
1133,Mötley Crüe,0.0,201.40363,0.0,0.0,7,0.279,-7.606,0,0.482,0.5013606133308892,0.6232359933219161,192.824,121.691,3,0.922,Merry-Go-Round,Too Fast For Love,1981
1134,Organ Donors,0.0,455.44444,0.485,0.0,8,0.459,-3.277,0,0.473,0.4225876607355313,0.0,442.032,134.07,4,0.542,Dr Kaotica,Lange Presents Intercity Spring 2010,0
1135,The Pharcyde,0.0,315.97669,0.206,0.0,7,0.59,-6.823,1,0.626,0.5111304652008951,nan,310.37,104.357,4,1.0,I'm That Type Of Ni**a,Bizarre Ride II,0
1136,Cornell Campbell,0.0,166.55628,0.218,0.0,5,0.528,-8.85,0,0.52,0.3832290261922142,nan,149.6,88.843,1,0.0,Just My Imagination,Soul Classics On Reggae Beats,0
1137,Minnie Riperton,0.0,224.67873,0.402,0.0,9,0.296,-13.895,1,0.471,0.3835574697768149,nan,215.522,122.832,5,1.0,Lovin' You,Love To Love,1974
1138,Jonathan Edwards / Will Ferrell,0.0,159.58159,0.0,0.0,10,0.25,-8.863,1,0.558,0.39974166746146406,0.4454545254934259,153.884,83.985,3,0.518,Sunshine Anchorman Medley,Anchorman,0
1139,Dilated Peoples Featuring Black Thought,0.0,236.72118,0.0,0.0,7,0.714,-5.265,1,0.565,0.45784115609436704,nan,222.801,87.326,4,1.0,Hard Hitters,Expansion Team,2001
1140,Sonora Santanera,0.0,150.72608,0.194,0.0,2,0.624,-8.215,0,0.557,0.34342837829688244,nan,147.278,94.257,4,0.507,Saca La Botella,Solo Lo Nuestro - 20 Exitos,0
1141,Drop Dead_ Gorgeous,0.0,96.10404,0.0,0.0,0,1.0,-3.973,0,0.802,0.5183991616558854,nan,92.34,200.289,1,0.936,Are You Happy (Album Version),In Vogue,2006
1142,Pardesi,0.0,263.52281,0.252,0.0,11,0.034,-12.781,0,0.243,0.2563503629041404,nan,249.098,90.811,4,0.779,Akhan Nay Sharab,Pump Up The Bhangra,0
1143,Nichols,0.0,214.46485,0.101,0.0,0,0.723,-5.609,0,0.507,0.30878765630404553,nan,199.605,167.941,4,0.595,Fica ma mi,Ladies Night,0
1144,Samy Deluxe,0.0,235.98975,0.0,0.0,1,0.554,-7.557,1,0.637,0.39345711137576006,0.6205815482847123,233.72,85.865,4,0.651,Die Meisten,Samy Deluxe,2001
1145,The Jackson Southernaires,0.0,273.162,0.31,0.0,8,0.003,-11.718,1,0.183,0.31143764032728327,nan,260.005,115.434,4,1.0,No Coward Soldier,Power Packed,0
1146,Tim Exile,0.0,369.57995,0.0,0.0,1,0.0,-6.555,1,0.114,0.3018470948111364,0.5300256141714262,356.926,110.0,4,0.662,Fortress,Listening Tree,2009
1147,Bad Company,0.0,211.1473,0.194,0.0,0,0.614,-8.958,1,0.634,0.48210001892032256,0.5525476944351284,204.487,194.283,7,0.47,Crazy Circles,Desolation Angels,1979
1148,Phantom Planet,0.0,209.34485,0.299,0.0,2,0.205,-4.507,1,0.394,0.5423950934997648,nan,206.176,122.488,3,1.0,The Meantime,Live 2004,2004
1149,Sir Neville Marriner,0.0,296.80281,3.408,0.0,7,0.651,-21.254,1,0.628,0.35303405577540575,0.5889221675559065,278.343,61.634,5,0.527,Two Elegiac Melodies Op. 34: 2. The Last Spring,Mozart: Academy in Concert,0
1150,Sane Band,0.0,262.53016,0.311,0.0,9,0.592,-15.751,1,0.553,0.3384002480697542,nan,249.574,148.071,4,0.616,Thats life,Many moods of love - vol.2,0
1151,Madonna,0.0,269.58322,0.198,0.0,5,0.153,-3.579,0,0.38,0.6552837984150548,0.7259841874679933,259.802,121.948,4,0.303,Papa Don't Preach,Celebration,1986
1152,The Jam,0.0,147.64363,3.413,0.0,7,0.75,-12.793,1,0.754,0.547746274612012,nan,147.644,144.424,4,0.797,Start!,Dig The New Breed,1980
1153,Dinosaur Jr.,0.0,198.53016,0.374,0.0,0,0.456,-5.233,1,0.649,0.5515524551563505,0.5874265067023358,189.98,185.452,1,0.0,Does It Float,Dinosaur,1985
1154,Winterlight,0.0,328.6722,0.0,0.0,0,0.0,-7.437,1,0.0,0.3084860991203661,0.0,308.407,99.998,4,1.0,Daybreak,Kissed,0
1155,themselves,0.0,271.43791,0.094,0.0,1,0.617,-13.017,1,0.545,0.42883453621653383,0.4287022625232594,267.726,167.885,4,0.465,Crayon Sharpener,Them,2003
1156,Toni Braxton Featuring Babyface,0.0,240.61342,0.311,0.0,10,0.0,-4.225,0,0.039,0.555968803751809,0.319565986882865,227.149,103.832,4,0.986,Give U My Heart,Ultimate Toni Braxton,2003
1157,Lloyd Spiegel,0.0,188.70812,0.0,0.0,9,0.215,-8.635,0,0.28,0.2650944490241476,nan,184.953,113.397,4,0.948,The Storm,Tall Stories,0
1158,The Sex Pistols,0.0,176.5873,0.165,0.0,11,0.48,-8.016,1,0.558,0.5492043838770254,nan,168.443,89.607,1,0.0,My Way (Alternate Studio Version),Sex_ Anarchy & Rock N' Roll Swindle,0
1159,Sin Plomo,0.0,444.49914,3.947,0.0,7,0.804,-9.539,0,0.768,0.29403748296747373,nan,438.48,127.955,4,0.0,Why can't we live together,Why can't we live together Rmx,0
1160,Aiden,0.0,241.03138,0.0,0.0,7,0.705,-7.561,1,0.617,0.5004591506589332,0.47212111953959446,236.28,125.653,4,1.0,Die Romantic [Live],From Hell...With Love,0
1161,Cal Tjader,0.0,199.75791,0.328,0.0,9,0.283,-16.603,1,0.436,0.3690768705489907,0.4051157216913865,195.146,143.764,1,0.137,Along Comes Mary,The Soul Of Jazz (Jazz Club),0
1162,Seventh Day Slumber,0.0,209.73669,0.125,0.0,2,0.315,-5.324,0,0.406,0.5092430986786269,0.7803116042518864,193.167,150.575,4,0.317,Shattered Life,Once Upon A Shattered Life,2005
1163,Mouth Of The Architect,0.0,475.21914,0.0,0.0,3,0.0,-8.316,1,0.29,0.4690559757440672,0.6909709542805956,455.593,124.562,3,0.989,Harboring An Apparition,111,2006
1164,Winston Reedy,0.0,193.72363,0.173,0.0,1,0.931,-12.087,1,0.565,0.2899029316087479,nan,186.015,118.123,4,0.205,Sentimental Man,Reality,0
1165,Danny Williams,0.0,168.01914,0.403,0.0,8,0.223,-14.517,1,0.398,0.40977899776259186,0.3347065490692206,163.463,77.072,3,0.597,The Wonderful World Of The Young,Collection,1998
1166,Diamanda Galas,0.0,162.95138,0.442,0.0,5,0.86,-12.673,1,0.562,0.36368783982733144,0.3231121208952123,154.024,162.133,4,0.668,Dark End Of The Street,The Sporting Life,0
1167,Myrick "Freeze" Guillory,0.0,300.82567,0.0,0.0,0,0.297,-12.574,1,0.503,0.2168288859860431,0.0,300.826,137.663,4,0.0,Zydeco In D-Minor,Nouveau Zydeco,0
1168,Moonspell,0.0,386.19383,0.177,0.0,7,0.374,-8.087,1,0.54,0.4998263135401019,0.5940795853731886,386.194,140.185,4,0.099,The Hanged Man,Sin / Pecado,1998
1169,It Dies Today,0.0,179.40853,0.0,0.0,11,0.06,-4.027,1,0.396,0.5115767829276756,nan,179.409,98.377,3,0.991,One the road (to Damnation),Sirens,2006
1170,Blind Willie Johnson,0.0,172.25098,0.097,0.0,0,0.0,-16.159,1,0.2,0.4011447414777875,nan,167.184,95.677,1,0.0,God Don't Never Change,Praise God I'm Satisfied,1989
1171,Grandpa Jones,0.0,141.73995,0.491,0.0,2,0.101,-11.756,1,0.394,0.3315347514153216,0.0,136.615,119.271,4,0.15,Down In Dixie,The Unforgettable Grandpa Jones,0
1172,Mario Rosenstock,0.0,187.14077,0.311,0.0,7,0.546,-8.065,1,0.63,0.04903438084848781,nan,182.671,90.05,4,0.433,Munster Song (Best of 2009),Gift Grub 10,0
1173,David Arkenstone,0.0,314.5922,3.895,0.0,9,0.658,-14.881,1,0.648,0.43094204343555065,0.3603705827121406,296.153,141.975,4,0.659,The Forgotten Lands,Return Of The Guardians,1996
1174,María Elena Walsh,0.0,150.09914,0.0,0.0,0,0.526,-12.517,1,0.571,0.2570629202962798,nan,138.896,131.552,3,1.0,La Mona Jacinta,Todos Cantamos Con Maria Elena,2000
1175,Joy Division,0.0,141.08689,0.0,0.0,2,0.239,-6.021,1,0.139,0.5762946511398908,nan,136.115,150.04,4,1.0,Leaders Of Men,Let The Movie Begin,1978
1176,New Found Glory,0.0,208.27383,0.113,0.0,4,0.662,-3.301,1,0.658,0.5482282091918806,0.6631939677740828,191.28,192.07,4,0.937,Don't Let Her Pull You Down,Not Without A Fight,2009
